CustomerActionDateTimeUtc;CustomerActionCustomerIdsCustomerID;CustomerActionOrderTotalPrice;CustomerActionOrderIdsBackofficeID
11.07.2021 10:15;150915;3312;94097928
09.07.2021 20:23;151766;3993;94094599
10.07.2021 17:02;151958;2762;94108515
11.07.2021 16:21;152026;3429;94118730
10.07.2021 7:07;153317;7158;94069491
11.07.2021 17:33;153941;6921;94117805
10.07.2021 13:38;154093;6208;93988637
11.07.2021 15:01;154286;6442;94126332
10.07.2021 6:06;154592;5581;94099282
11.07.2021 15:41;154692;5264;94122744
10.07.2021 15:47;154727;6174;93864938
09.07.2021 17:30;154853;2027;94055792
11.07.2021 18:11;154853;2158;94128155
10.07.2021 10:03;154868;7125;93815993
11.07.2021 13:27;156957;3059;94050982
11.07.2021 15:05;158935;8451;94121447
11.07.2021 6:17;159037;5556;94118952
11.07.2021 9:01;159644;9726;93961359
11.07.2021 11:20;159716;5525;94122844
10.07.2021 17:18;160322;9584;94115117
10.07.2021 8:33;160669;4671;94090108
10.07.2021 16:14;162388;8137;94104876
10.07.2021 10:16;162463;10991;93988328
11.07.2021 11:44;163109;5599;94120505
10.07.2021 7:12;163410;6106;93983970
10.07.2021 7:31;163907;2855;94093127
11.07.2021 12:53;164063;4923;94121634
10.07.2021 9:45;164563;4534;94078876
11.07.2021 10:17;164745;1702;94034926
10.07.2021 18:00;165773;4277;93919201
10.07.2021 6:54;167168;5042;94101140
11.07.2021 12:48;167322;4825;93757474
11.07.2021 19:49;167598;5655;94130638
11.07.2021 8:40;167682;2027;94117753
09.07.2021 18:50;167967;7390;94092256
09.07.2021 23:26;168140;6186;94090591
11.07.2021 13:11;168144;1468;94123412
09.07.2021 21:11;168251;3806;94000777
10.07.2021 11:21;168614;3694;93980391
10.07.2021 11:24;168614;4650;93978475
10.07.2021 11:21;168614;5214;93924711
10.07.2021 11:18;168614;7308;94020102
11.07.2021 6:10;169796;5512;94034862
11.07.2021 6:35;169881;6543;94111584
10.07.2021 10:14;170597;9845;94044121
11.07.2021 16:41;171564;5921;94116483
11.07.2021 11:52;171734;9329;94071681
11.07.2021 18:45;173049;4822;93967071
11.07.2021 13:26;174671;4132;94121701
09.07.2021 22:18;174966;5168;93825796
10.07.2021 13:42;174972;9772;94096120
10.07.2021 15:28;176874;5128;94000578
09.07.2021 18:15;178033;8183;94097163
11.07.2021 8:26;178444;3244;94117232
11.07.2021 17:37;179568;5580;93829062
10.07.2021 16:49;180728;2142;93912187
